workload, memory, parallelism, tXAW, energy (nJ), execution time (ns)
VecAdd4_KSA, DDR4, 1, 0.0, 710.7200, 31038.7200
VecAdd4_KSA, DDR4, 1, 6.664, 710.7200, 31038.7200
VecAdd4_KSA, DDR4, 1, 13.328, 710.7200, 31038.7200
VecAdd4_KSA, DDR4, 16, 0.0, 710.7200, 1939.9200
VecAdd4_KSA, DDR4, 16, 6.664, 710.7200, 2133.1760
VecAdd4_KSA, DDR4, 16, 13.328, 710.7200, 2326.4320
VecAdd4_KSA, DDR4, 256, 0.0, 710.7200, 1939.9200
VecAdd4_KSA, DDR4, 256, 6.664, 710.7200, 2133.1760
VecAdd4_KSA, DDR4, 256, 13.328, 710.7200, 2326.4320
VecAdd4_KSA, DDR4, 2048, 0.0, 710.7200, 1939.9200
VecAdd4_KSA, DDR4, 2048, 6.664, 710.7200, 2133.1760
VecAdd4_KSA, DDR4, 2048, 13.328, 710.7200, 2326.4320
VecAdd8, DDR4, 1, 0.0, 933.4400, 40554.2400
VecAdd8, DDR4, 1, 6.664, 933.4400, 40554.2400
VecAdd8, DDR4, 1, 13.328, 933.4400, 40554.2400
VecAdd8, DDR4, 16, 0.0, 933.4400, 2534.6400
VecAdd8, DDR4, 16, 6.664, 933.4400, 2787.8720
VecAdd8, DDR4, 16, 13.328, 933.4400, 3041.1040
VecAdd8, DDR4, 256, 0.0, 933.4400, 2534.6400
VecAdd8, DDR4, 256, 6.664, 933.4400, 2787.8720
VecAdd8, DDR4, 256, 13.328, 933.4400, 3041.1040
VecAdd8, DDR4, 2048, 0.0, 933.4400, 2534.6400
VecAdd8, DDR4, 2048, 6.664, 933.4400, 2787.8720
VecAdd8, DDR4, 2048, 13.328, 933.4400, 3041.1040
VecMulQ8, DDR4, 1, 0.0, 6226.9440, 356605.4400
VecMulQ8, DDR4, 1, 6.664, 6226.9440, 356605.4400
VecMulQ8, DDR4, 1, 13.328, 6226.9440, 356605.4400
VecMulQ8, DDR4, 16, 0.0, 6226.9440, 22287.8400
VecMulQ8, DDR4, 16, 6.664, 6226.9440, 24773.5120
