time	V(bitline0)
Step Information: Run=1  (Run: 1/100)
0.000000000000000e+000	0.000000e+000
1.171874952965771e-015	2.292283e-001
1.663577562616194e-015	2.722253e-001
2.646982781917040e-015	2.780416e-001
4.613793220518731e-015	2.721687e-001
8.547414097722114e-015	2.532690e-001
1.380250453471323e-014	2.416719e-001
2.325576108651180e-014	2.372053e-001
3.800536282925487e-014	2.366988e-001
6.750456631474101e-014	2.368581e-001
1.265029732857133e-013	2.371481e-001
2.444997872276579e-013	2.377354e-001
4.804934151115470e-013	2.389116e-001
9.524806708793252e-013	2.412523e-001
1.896455182414882e-012	2.458741e-001
3.784404205485995e-012	2.548641e-001
7.560302251628220e-012	2.718591e-001
1.511209834391267e-011	3.022633e-001
3.021569052848158e-011	3.512779e-001
6.042287489761939e-011	4.169862e-001
1.208372436358950e-010	4.824186e-001
2.380247436358950e-010	5.252323e-001
3.552122436358950e-010	5.343027e-001
4.723997436358951e-010	5.350390e-001
5.895872436358951e-010	5.353612e-001
7.067747436358951e-010	5.354521e-001
8.239622436358951e-010	5.354763e-001
9.411497436358950e-010	5.354832e-001
1.058337243635895e-009	5.354849e-001
1.175524743635895e-009	5.354853e-001
1.292712243635895e-009	5.354852e-001
1.400000000000000e-009	5.348880e-001
1.410728775636411e-009	5.352861e-001
1.432186326909232e-009	5.354851e-001
9.980682337873230e-009	5.354751e-001
1.000000000000000e-008	5.354751e-001
1.000193176621268e-008	5.354751e-001
1.000579529863803e-008	5.354751e-001
1.540000000000000e-008	5.354702e-001
1.680000000000000e-008	5.354692e-001
2.000000000000000e-008	5.354668e-001
2.001171875000000e-008	5.354668e-001
2.003515625000000e-008	5.354668e-001
2.008203125000000e-008	5.354668e-001
2.017578125000000e-008	5.354668e-001
2.029296875000000e-008	5.354670e-001
2.041015625000000e-008	5.354673e-001
2.052734375000000e-008	5.354676e-001
2.064453124999999e-008	5.354681e-001
2.076171874999999e-008	5.354686e-001
2.087890624999999e-008	5.354691e-001
2.099609374999999e-008	5.354697e-001
2.123046874999999e-008	5.354710e-001
2.146484374999999e-008	5.354723e-001
2.181640624999998e-008	5.354746e-001
2.216796874999998e-008	5.354770e-001
2.240234374999998e-008	5.354789e-001
2.251953124999998e-008	5.354798e-001
2.263671874999998e-008	5.354809e-001
2.275390624999997e-008	5.354819e-001
2.298828124999997e-008	5.354841e-001
2.310546874999997e-008	5.354853e-001
2.322265624999997e-008	5.354865e-001
2.369140624999997e-008	5.354914e-001
2.400000000000000e-008	5.354947e-001
2.401171875000000e-008	5.354954e-001
2.403515625000000e-008	5.354966e-001
2.452734375000000e-008	5.355069e-001
2.558203124999999e-008	5.355270e-001
2.593359374999998e-008	5.355460e-001
2.605078124999998e-008	5.355592e-001
2.616796874999998e-008	5.355797e-001
2.628515624999998e-008	5.356117e-001
2.640234374999998e-008	5.356622e-001
2.651953124999998e-008	5.357407e-001
