time	V(bitline0)
Step Information: Run=1  (Run: 1/100)
0.000000000000000e+000	0.000000e+000
1.171874952965771e-015	2.464308e-001
1.691676448651670e-015	2.981659e-001
2.731279440023467e-015	3.116000e-001
4.810485422767061e-015	3.105279e-001
8.968897388254251e-015	2.954838e-001
1.448441319674100e-014	2.863384e-001
2.463048820763834e-014	2.828421e-001
4.043827024874284e-014	2.824749e-001
7.205383433095182e-014	2.826371e-001
1.352849624953698e-013	2.829161e-001
2.617472188242057e-013	2.834735e-001
5.146717314818776e-013	2.845911e-001
1.020520756797221e-012	2.868118e-001
2.032218807427909e-012	2.911926e-001
4.055614908689284e-012	2.996947e-001
8.102407111212034e-012	3.156977e-001
1.619599151625753e-011	3.440948e-001
3.238316032634853e-011	3.892195e-001
6.475749794653054e-011	4.482394e-001
1.295061731868945e-010	5.050696e-001
2.466936731868945e-010	5.380223e-001
3.638811731868945e-010	5.443806e-001
4.810686731868945e-010	5.454309e-001
5.982561731868945e-010	5.468464e-001
7.154436731868945e-010	5.483196e-001
8.326311731868946e-010	5.496645e-001
9.498186731868945e-010	5.508229e-001
1.067006173186894e-009	5.518495e-001
1.184193673186894e-009	5.527786e-001
1.282812500000000e-009	5.534526e-001
1.400000000000000e-009	5.538461e-001
1.411718750000000e-009	5.526409e-001
1.435156250000000e-009	5.506923e-001
1.482031250000000e-009	5.487210e-001
1.575781250000000e-009	5.476549e-001
1.692968750000000e-009	5.475624e-001
2.396093750000001e-009	5.480520e-001
3.333593750000002e-009	5.485463e-001
4.388281250000001e-009	5.489532e-001
5.560156249999998e-009	5.492721e-001
7.083593749999994e-009	5.495445e-001
9.075781250000000e-009	5.497508e-001
9.882812500000000e-009	5.498040e-001
1.000000000000000e-008	5.498107e-001
1.001171875000000e-008	5.498114e-001
1.003515625000000e-008	5.498127e-001
1.357421875000002e-008	5.499308e-001
1.540000000000000e-008	5.499564e-001
1.541171875000000e-008	5.483960e-001
1.543515625000000e-008	5.461109e-001
1.548203125000000e-008	5.435742e-001
1.557578125000000e-008	5.411354e-001
1.569296875000000e-008	5.395442e-001
1.581015625000000e-008	5.385767e-001
1.592734374999999e-008	5.378596e-001
1.604453124999999e-008	5.373156e-001
1.616171874999999e-008	5.370195e-001
1.627890624999999e-008	5.370184e-001
1.639609374999999e-008	5.371986e-001
1.651328124999999e-008	5.373442e-001
1.663046874999999e-008	5.373471e-001
1.672031249999992e-008	5.372320e-001
1.675000000000010e-008	5.371756e-001
1.680000000000000e-008	5.370739e-001
1.680499999999999e-008	5.374362e-001
1.681499999999997e-008	5.380785e-001
1.683499999999993e-008	5.390486e-001
1.687499999999985e-008	5.402015e-001
1.695499999999968e-008	5.411833e-001
1.707218749999968e-008	5.415743e-001
1.718937499999968e-008	5.416201e-001
2.000000000000000e-008	5.416102e-001
2.001153125000003e-008	5.416102e-001
2.003459375000011e-008	5.416101e-001
