time	V(n001)
Step Information: Run=1  (Run: 1/100)
0.000000000000000e+00	0.000000e+00
1.171874952965771e-15	4.206023e-01
2.212269314973283e-15	5.499073e-01
4.293058038988306e-15	5.499051e-01
8.454635487018353e-15	5.499042e-01
1.677779038307845e-14	5.499025e-01
2.677349162471313e-14	5.499003e-01
4.676489410798248e-14	5.498960e-01
8.674769907452120e-14	5.498874e-01
1.667133090075986e-13	5.498701e-01
3.266445288737535e-13	5.498358e-01
6.465069686060633e-13	5.497674e-01
1.286231848070683e-12	5.496321e-01
2.565681606999922e-12	5.493672e-01
5.124581124858400e-12	5.488596e-01
1.024238016057536e-11	5.479262e-01
2.047797823200927e-11	5.463409e-01
4.094917437487709e-11	5.440136e-01
8.189156666061274e-11	5.413750e-01
1.637763512320840e-10	5.394185e-01
2.809638512320840e-10	5.391035e-01
3.981513512320840e-10	5.395792e-01
5.153388512320840e-10	5.401839e-01
6.325263512320840e-10	5.408497e-01
7.497138512320841e-10	5.415888e-01
8.669013512320841e-10	5.423875e-01
9.840888512320840e-10	5.432255e-01
1.101276351232084e-09	5.440855e-01
1.218463851232084e-09	5.449552e-01
1.282812500000000e-09	5.454324e-01
1.400000000000000e-09	5.462976e-01
1.411718750000000e-09	5.463611e-01
1.435156250000000e-09	5.464600e-01
1.482031250000000e-09	5.465814e-01
1.575781250000000e-09	5.467217e-01
1.692968750000000e-09	5.468510e-01
2.396093750000001e-09	5.474989e-01
3.333593750000001e-09	5.481578e-01
4.388281250000000e-09	5.486916e-01
5.677343749999997e-09	5.491365e-01
7.317968749999993e-09	5.494885e-01
9.661718750000003e-09	5.497546e-01
1.341171875000002e-08	5.499194e-01
1.528671875000002e-08	5.499513e-01
1.540000000000000e-08	5.499526e-01
1.541132812500000e-08	5.499325e-01
1.543398437499999e-08	5.498645e-01
1.547929687499998e-08	5.496473e-01
1.556992187499996e-08	5.490797e-01
1.568710937499996e-08	5.482506e-01
1.580429687499996e-08	5.473853e-01
1.592148437499996e-08	5.465211e-01
1.603867187499996e-08	5.456768e-01
1.615585937499996e-08	5.448697e-01
1.627304687499996e-08	5.441216e-01
1.639023437499996e-08	5.434498e-01
1.650742187499996e-08	5.428547e-01
1.662460937499995e-08	5.423158e-01
1.670703124999718e-08	5.419633e-01
1.678437499983815e-08	5.416492e-01
1.680000000000000e-08	5.415868e-01
1.680156250001618e-08	5.415808e-01
1.680468750004855e-08	5.415694e-01
1.681093750011329e-08	5.415486e-01
1.682343750024276e-08	5.415146e-01
1.684843750050171e-08	5.414675e-01
1.689843750101961e-08	5.414186e-01
1.699843750205542e-08	5.413852e-01
1.711562500205542e-08	5.413783e-01
1.781875000205541e-08	5.413775e-01
2.000000000000000e-08	5.413703e-01
2.001171875000000e-08	5.413702e-01
2.003515625000000e-08	5.413702e-01
2.008203125000000e-08	5.413700e-01
2.017578125000000e-08	5.413700e-01
2.029296875000000e-08	5.413700e-01
2.041015625000000e-08	5.413703e-01
2.052734375000000e-08	5.413705e-01
2.064453124999999e-08	5.413709e-01
2.076171874999999e-08	5.413713e-01
2.087890624999999e-08	5.413718e-01
2.111328124999999e-08	5.413729e-01
2.169921874999998e-08	5.413762e-01
2.400000000000000e-08	5.414000e-01
2.401171875000000e-08	5.414001e-01
2.403515625000000e-08	5.414004e-01
2.452734374999999e-08	5.414099e-01
2.476171874999999e-08	5.414258e-01
2.487890624999999e-08	5.414439e-01
2.499609374999999e-08	5.414765e-01
2.511328124999999e-08	5.415346e-01
2.523046874999999e-08	5.416365e-01
2.534765624999999e-08	5.418099e-01
2.546484374999999e-08	5.420927e-01
2.558203124999998e-08	5.425327e-01
2.569921874999998e-08	5.431830e-01
2.581640624999998e-08	5.440980e-01
2.593359374999998e-08	5.453275e-01
2.605078124999998e-08	5.469134e-01
2.640234374999998e-08	5.540507e-01
2.651953124999998e-08	5.572233e-01
2.663671874999997e-08	5.607387e-01
2.675390624999997e-08	5.645276e-01
2.687109374999997e-08	5.685037e-01
2.698828124999997e-08	5.725731e-01
2.710546874999997e-08	5.766429e-01
2.722265624999997e-08	5.806280e-01
